7 21 19:30:52 <item4>	안녕하세요.
7 21 20:13:17 <item4>	8시 18분까지 해보겠습ㄴ디ㅏ
7 21 20:13:23 <item4>	니다*
7 21 20:13:41 <NoBrain>	넵
7 21 20:14:11 <claire>	넵
7 21 20:19:13 <item4>	자, 다 풀으셨나요
7 21 20:20:02 <claire>	넵 휴으..
7 21 20:20:07 <NoBrain>	넵
7 21 20:20:15 <dcdc>	좀만 더요~~
7 21 20:20:22 <item4>	네. 22분까지 해보겠습니다
7 21 20:23:19 <item4>	자. 다 되셨나요
7 21 20:23:29 <dcdc>	네
7 21 20:24:26 <item4>	http://jsfiddle.net/V7cLs/4/
7 21 20:24:32 <item4>	이런 형태로 나오고 있다면 맞게 푸신겁니다
7 21 20:25:59 <grimb>	네. 제대로 풀었습니다~
7 21 20:26:21 <item4>	자, 이제까지 해서 순서가 있는 목록, 없는 목록
7 21 20:26:25 <item4>	두가지를 해봤습니다
7 21 20:26:35 <item4>	그럼, 정의목록은 뭘까요?
7 21 20:27:12 <item4>	일단 봐보도록 하겠습니다
7 21 20:27:14 <item4>	http://jsfiddle.net/MwZWV/
7 21 20:28:08 <item4>	자, 어떤 용도 같나요
7 21 20:28:50 <grimb>	물음과 그 물음에 대한 답?
7 21 20:30:12 <claire>	정해진 형식에 따라 목록 이름과 목록의 내용을 구분하기 위한 것인가요? 
7 21 20:30:25 <item4>	정의 목록 이라고 불렀는데
7 21 20:30:30 <dcdc>	옛날 테이블 구조랑 좀 비슷한데요...
7 21 20:30:34 <item4>	여기서 정의란, justice 말고
7 21 20:30:45 <item4>	define의 정의 입니다
7 21 20:30:55 <item4>	말 그대로 무언가를 정의하는 목록인데요
7 21 20:31:18 <item4>	어떠한 용어에 대해 설명과 같이 쓸때 씁니다
7 21 20:32:03 <item4>	지금 예제에선 오늘 스터디에 대해 정의를 해보고 있는데요
7 21 20:32:29 <item4>	보기에, 각 위치로 구별이 가능합니다
7 21 20:32:32 <item4>	누가
7 21 20:32:34 <item4>	나와 여러 사람들이
7 21 20:32:46 <item4>	공백 위치가 다르죠
7 21 20:33:00 <item4>	이런식으로, 어떤 용어와
7 21 20:33:12 <item4>	그 용어의 정의를 서술할때 사용하는것이 정의 목록입니다
7 21 20:33:36 <item4>	표와 비슷하다고 하셨는데, 표와 비슷한 관계로 별로 쓰이진 않습니다..
7 21 20:33:49 <item4>	표에 비해서 말이죠
7 21 20:34:30 <dcdc>	네
7 21 20:34:36 <item4>	실제 예를 보여드리기 힘든것도
7 21 20:34:41 <item4>	쓰는곳을 찾기가 힘듭니다
7 21 20:34:55 <item4>	사용한다 해도 적어도 지금 보이는 이 형태로는 쓰고있지 않습니다
7 21 20:35:14 <item4>	CSS를 통해 출력되는 방식을 뜯어고쳐서 사용하고 있지요
7 21 20:35:46 <item4>	자. 일단 여기까지 오면서 궁금한점 있으시면 말씀해주세요
7 21 20:36:21 <jason_>	오늘은 좀 무난한 것 같습니다.
7 21 20:37:47 <dcdc>	그런거 같아요.
7 21 20:37:56 <dcdc>	확실히 프로그램보다 100만배 쉽네요.
7 21 20:38:03 <grimb>	특별히 의문점이 있지는 않습니다.
7 21 20:38:21 <item4>	자, 그럼 오늘 내줄 어마어마한 과제(?)에 대비해서
7 21 20:38:26 <item4>	10분만 휴식을 갖도록 하겠습니다
7 21 20:38:31 <item4>	48분에 이어서 시작합니다
7 21 20:38:37 <claire>	:) 넵
7 21 20:38:43 <dcdc>	네~~
7 21 20:49:27 <jason_>	시작
7 21 20:50:07 <item4>	오늘 내드릴 과제는
7 21 20:50:13 <item4>	ol태그를 활용한
7 21 20:50:16 <item4>	100문 100답입니다
7 21 20:50:37 <claire>	헛.넵
7 21 20:50:57 <item4>	근데 100문 100답을 하려면
7 21 20:51:09 <item4>	조금 더 시각적인 효과? 이런걸 낼 줄 알아야 할 것 같습니다
7 21 20:51:25 <grimb>	헉...
7 21 20:51:28 <item4>	그래서 과제 돌입에 앞서서
7 21 20:51:37 <item4>	몇가지 인라인 태그를 알아보도록 하겠습니다
7 21 20:52:11 <grimb>	네
7 21 20:52:45 <item4>	먼저, 지난번에 강조에 의미로 strong을 쓴다고 알아봤는데요
7 21 20:53:12 <item4>	strong보다 약하지만 강조의 의미를 가진 태그가 있습니다
7 21 20:53:21 <item4>	이름은 em 태그입니다
7 21 20:53:31 <item4>	직접 한번 써보도록 하겠습니다
7 21 20:55:07 <item4>	http://jsfiddle.net/4yGJd/
7 21 20:55:14 <item4>	이런 형태로 작성해나갈겁니다
7 21 20:55:52 <grimb>	네
7 21 20:56:03 <claire>	넵
7 21 20:56:32 *	NoBrain has quit (Connection closed)
7 21 20:56:36 <item4>	em태그는 어떻게 보이는 것 같나요
7 21 20:56:42 <jason_>	기울임
7 21 20:57:08 <jason_>	근데 ol로 백문 백답을 하면은 1.질문 2. 답 3.질문 4.답 이런식인가요?
7 21 20:57:31 <item4>	그 부분은 잠시 뒤에 설명드릴게요
7 21 20:57:39 <jason_>	네
7 21 20:57:52 <item4>	기울임으로 강조라고 하기엔 좀 약하지 않냐는 질문이 왔는데요
7 21 20:58:02 <item4>	이건 .. 솔직히 보기에 강조되보이진 않습니다
7 21 20:58:11 <item4>	하지만 문장이 영어일 경우라면 
7 21 20:58:23 <item4>	보통의 알파벳과 기울여진 알파벳은 느낌이 다르니까요
7 21 20:58:31 <item4>	한국어의 기울임과는 느낌이 좀 다른가봅니다
7 21 20:58:44 <item4>	The HTML <em> element (or HTML Emphasis Element) marks text that has stress emphasis.
7 21 20:58:48 <item4>	.. 라고 정의되어 있습니다
7 21 20:58:55 <item4>	일단 용도는 강조라고 볼 수 있습니다
7 21 20:59:27 <jason_>	strong 이나 em은 그럼 css는 아니죠? html 언어죠?
7 21 20:59:39 <item4>	네
7 21 20:59:48 <item4>	기본적으로 기울여져 보이긴 하지만
7 21 20:59:54 <item4>	기울이기 위해서 저걸 써선 안됩니다
7 21 21:00:42 <item4>	굵게하고, 밑줄을 그었고
7 21 21:00:55 <item4>	아니, 이제 밑줄을 그어봐야겠군요
7 21 21:01:16 <item4>	일단 밑줄을 긋는건 u 태그를 통해서입니다
7 21 21:01:36 <item4>	근데 u태그는
7 21 21:01:41 <item4>	밑줄을 긋는 용도가 아닙니다
7 21 21:01:58 <item4>	In HTML5, this element represents a span of text with an unarticulated, though explicitly rendered, non-textual annotation, such as labeling the text as being a proper name in Chinese text (a Chinese proper name mark), or labeling the text as being misspelled.
7 21 21:02:39 <item4>	용도가 이렇게 정의되어있는데요
7 21 21:02:43 <item4>	HTML5 이전엔
7 21 21:02:50 <item4>	이런 용도조차 없었고
7 21 21:02:57 <item4>	HTML5가 아니면 써선 안되는 태그입니다
7 21 21:03:34 <item4>	예를 들어서 중국어 이름이나 
7 21 21:03:51 <item4>	스펠링이 잘못된 부분에 강조를 해주는 용도라고 정의되어 있는데요
7 21 21:04:06 <item4>	그럼, 그냥 밑줄만 그을거면 어떻게 해야할까요?
7 21 21:04:26 <item4>	자, 지금은 이해를 포기하고 일단 외웁시다
7 21 21:04:48 <item4>	<span style="text-decoration:underline;">밑줄</span>
7 21 21:05:13 <item4>	자, <u>밑줄</u>과 <span style="text-decoration:underline;">밑줄</span>
7 21 21:05:18 <item4>	두가지를 비교해보세요
7 21 21:06:12 <grimb>	보여지는 건 같은 거 같습니다.
7 21 21:06:15 <claire>	보기엔 똑.. 같아요;; ^^;; 
7 21 21:06:28 <item4>	외관상으론 같지만
7 21 21:06:36 <item4>	실제 의미하는 바가 다릅니다
7 21 21:07:07 <item4>	자, 일단은 외우자고 했는데
7 21 21:07:11 <item4>	간단히 틀만 봐봅시다
7 21 21:07:19 <item4>	<span style="text-decoration:underline;">밑줄</span>
7 21 21:07:27 <item4>	일단 span 이란 태그인 것 같습니다
7 21 21:07:32 <item4>	속성으로 style이란걸 가지고 있고
7 21 21:07:39 <item4>	안엔 뭔진 몰라도 속성을 준 것 같은데
7 21 21:07:44 <item4>	underline이란게 보이네요
7 21 21:08:12 <item4>	먼저, span이란 태그에 대해 알아야 합니다
7 21 21:08:26 <item4>	<span>span</span> 해봅시다
7 21 21:09:49 <grimb>	했습니다.
7 21 21:09:56 <item4>	자, 어떤가요?
7 21 21:10:22 <item4>	아무런 변화가 없을겁니다
7 21 21:10:27 <dcdc>	밑줄이 없어졌는데요?
7 21 21:10:30 <item4>	네
7 21 21:10:35 <item4>	아무 효과가 없을거에요
7 21 21:10:39 <item4>	밑줄도 없고
7 21 21:10:41 <grimb>	일반 텍스트와 별 차이는 없어 보입니다.
7 21 21:10:43 <item4>	강조도 없고
7 21 21:10:47 <item4>	일반 텍스트 그 자체입니다
7 21 21:11:00 <item4>	span은 일반 텍스트의 일부를 선택만 하는 역할을 합니다
7 21 21:11:12 <item4>	특정 영역을 지정한 다음
7 21 21:11:22 <item4>	아까 style="text-decoration:underline;" 같은걸로
7 21 21:11:39 <item4>	꾸민다던가 하는것이 가능합니다
7 21 21:11:59 <item4>	이제까지 
7 21 21:12:11 <item4>	굵게하고, 밑줄긋고, 기울이고 하는걸 알아봤는데요
7 21 21:12:26 <item4>	사실 같은 느낌으로 출력해주는것들이 좀 더 있습니다
7 21 21:12:38 <item4>	먼저, 지난시간에 다뤘지만
7 21 21:12:47 <item4>	<b>b</b> 해봅시다
7 21 21:13:55 <jason_>	굻게 나오네요
7 21 21:13:59 <jason_>	굵게
7 21 21:14:12 <jason_>	strong이랑 같은 건가요?
7 21 21:14:36 <item4>	네. b도 굵게 나옵니다
7 21 21:14:49 <jason_>	의미도 같은 건가요?
7 21 21:15:01 <item4>	하지만 의미는 다릅니다
7 21 21:15:56 <jason_>	의미도 가르쳐주세요.....
7 21 21:16:47 <item4>	http://jsfiddle.net/4yGJd/2/
7 21 21:16:52 <item4>	일단 이런식으로 정리가 가능하고
7 21 21:16:58 <item4>	b는 strong과 달리
7 21 21:17:05 <item4>	문장에서 강조는 해야겠는데
7 21 21:17:10 <item4>	실제 강조의 의미는 없을때 씁니다
7 21 21:17:15 <item4>	지난 시간에도 설명했지만
7 21 21:17:21 <item4>	이목 끌기용 같은 느낌입니다
7 21 21:18:07 <item4>	Represents a text which to which attention is drawn for utilitarian purposes . It doesn't convey extra importance and doesn't imply an alternate voice.
7 21 21:18:12 <item4>	라고 정의되어있습니다
7 21 21:18:37 <item4>	"여기는 좀 잘 봐주세요~" 같은 의미로 해석하시면 되겠습니다
7 21 21:18:54 <item4>	실제로 검색엔진들은 b를 strong처럼 해석하는 경향이 있습니다
7 21 21:19:18 <item4>	하지만, 그런 이유도 아니라면 b는 써선 안됩니다. 그냥 글자가 굵기 원하는거면
7 21 21:19:26 <item4>	<span style="font-weight:bold;">볼드</span>
7 21 21:19:30 <item4>	이런식으로 써주시면 됩니다
7 21 21:19:35 <jason_>	u나 b는 그럼 html5에서 사용하는 빈도가 어떻습니까?
7 21 21:19:57 <item4>	u의 경우라면 중국에선 좀 높겠군요
7 21 21:20:10 <item4>	b는 많이 쓰일겁니다
7 21 21:20:13 <dcdc>	중국에서 왜 u 사용이 높은거죠?
7 21 21:20:21 <item4>	그 원인은, HTML4에서 5로 올라올때
7 21 21:20:22 <dcdc>	b도 그렇고요...?
7 21 21:20:24 <item4>	별 탈이 없고요
7 21 21:20:33 <item4>	u는 중국어 이름등을 강조할 때 쓰이는데요
7 21 21:20:40 <jason_>	여튼 많이들 쓰는 태그네요. 전부.......
7 21 21:20:45 <item4>	지명등을 표현할때는 
7 21 21:20:52 <item4>	중국어는 읽는법이 다르다던가 그런게 있나봅니다
7 21 21:21:03 <item4>	그런것을 표현해줄때 사용되는것입니다
7 21 21:21:20 <item4>	자, 좀 더 혼란속에 빠져봅시다
7 21 21:21:28 <item4>	<i>i</i> 해봅시다
7 21 21:22:16 <jason_>	슬러쉬?
7 21 21:22:35 <jason_>	아니구나
7 21 21:22:40 <jason_>	기울임인데
7 21 21:23:02 <item4>	네. 기울임입니다
7 21 21:23:07 <jason_>	b u i 이런거 워드에서 컨트롤 하고 하면 하는 효과랑 다 똑같은거 아니예요?
7 21 21:23:25 <item4>	네. 그렇다고 보시면 되겠네요
7 21 21:23:33 <item4>	i의 경우에도 기울임이 발생합니다
7 21 21:23:38 <item4>	그럼 em과는 뭐가 다를까요
7 21 21:24:01 <jason_>	보기에는 똑같은대요.
7 21 21:24:02 <jason_>	ㅎㅎ
7 21 21:24:13 <item4>	i또한 b나 u와 같이
7 21 21:24:21 <item4>	HTML5 이전 버전에선 비권장 요소입니다
7 21 21:24:27 <item4>	HTML5니까 허용되는 요소이구요
7 21 21:24:38 <item4>	일단 정의상으론 이렇습니다
7 21 21:24:39 <item4>	 	Represents some text in an alternate voice or mood, or at least of different quality, such as a taxonomic designation, a technical term, an idiomatic phrase, a thought, or a ship name.
7 21 21:25:33 <item4>	... 좀 설명이 긴데
7 21 21:25:39 <item4>	다른 목소리
7 21 21:25:43 <item4>	분위기 
7 21 21:26:12 <item4>	양에 관한거라던가.. 에 쓰입니다
7 21 21:26:25 <jason_>	근데 꼭 이런 의미에 맞혀서 태그를 사용해야하나요? 다른 의미로 사용자 마음대로 사용하면 안 되는건가요?
7 21 21:27:14 <item4>	음. 방금 하신 말씀은 이런 느낌입니다
7 21 21:27:21 <grimb>	소설 같은데서 쓰이는 기울임이라고 생각하면 편할 것 같습니다.
7 21 21:27:41 <item4>	'나는 가/이를 구분해서 쓰는건 귀찮으니까 모두 가 라고 쓸거야.'
7 21 21:27:59 <item4>	일단 당장에 아무 탈은 없습니다
7 21 21:28:04 <item4>	문서 보이는것에도 아무 문제가 없습니다
7 21 21:28:34 <item4>	하지만 나중에 문서를 뜯어봤을때 여기에 왜 이걸 썼는지 알기가 힘들어집니다
7 21 21:30:24 <item4>	이 문제가 가장 불거진 예를 들자면 표가 있습니다
7 21 21:30:35 <item4>	XHTML 이전 사이트들은 죄다 표로 만들어져있었습니다
7 21 21:31:10 <item4>	그 이유는 CSS로 사이트를 꾸미기 힘들 시절 어느 외국인이 사이트를 맞추기 쉽게 하는 전략으로 사이트 요소를 죄다 표에 넣는 방법을 찾아서 그것이 널리 퍼진 여파인데요
7 21 21:31:19 <item4>	HTML은 하나의 문서 약속입니다
7 21 21:31:26 <item4>	표라면 표에 담을만한 내용이 들어가야하는데
7 21 21:31:31 <item4>	표에다가 디자인을 먹이고 있습니다
7 21 21:31:54 <dcdc>	여기서 표라 하면 '테이블'을 말하는건가요?
7 21 21:31:55 <item4>	안타깝게도 아직도 많은 홈페이지 제작사들이 표를 이용한 레이아웃을 만들고 있죠
7 21 21:32:01 <item4>	네. 테이블을 말합니다
7 21 21:32:08 <dcdc>	어휴... 그건 말도 안되는 짓이죠.
7 21 21:32:18 <item4>	한글 문서를 꾸미기 귀찮다고 표를 만들어서 그 안에 모두 꾸며넣은거라고 생각하시면 됩니다
7 21 21:32:25 <dcdc>	저희 회사는 그랬다간 바로 퇴직처리시킵니다.
7 21 21:32:36 <dcdc>	네... 꼼수네요. :(
7 21 21:33:06 <item4>	책 이름에는 무엇을 써야하냐는 질문도 받았는데요
7 21 21:33:13 <item4>	책 이름같은것엔 
7 21 21:33:18 <item4>	cite란 태그를 사용하고
7 21 21:33:27 <item4>	.. 좀 정신이 없습니다
7 21 21:33:33 <item4>	솔직히 다 지키긴 너무 힘들어요
7 21 21:33:40 <item4>	귀찮아서 태그 먹이는걸 생략하곤 합니다
7 21 21:33:51 <item4>	하지만 의미를 정확하게 문서에 박아두고 싶다면
7 21 21:33:58 <item4>	태그를 올바르게 사용하는편이 좋을 것 같습니다
7 21 21:34:22 <item4>	자, 벌써 시간이 이렇게 되버렸네요
7 21 21:34:35 <jason_>	태그 의미 정리한 것 좀 나중에 사이트에 올려주세요.ㅎㅎ
7 21 21:34:39 <item4>	마지막으로 가장 쓰임새가 좋은 하나만 알아보고 마치겠습니다
7 21 21:34:51 <item4>	그리고 태그 사전은 이번에 리체님께서 생활코딩에 올리신것으로 알고 있습니다
7 21 21:35:00 <jason_>	아 진짜요
7 21 21:35:02 <jason_>	네
