7 17 19:40:41 <item4>	안녕하세요. 아직 많은분들이 안오셨네요
7 17 20:20:49 <item4>	자, 이번엔 다시 끄고 실행해서
7 17 20:20:53 <grimb>	무슨 의미인지 감이 옵니다.
7 17 20:20:54 <item4>	256을 넣어봅시다
7 17 20:21:46 <item4>	이번엔 어떻게 나오시나요
7 17 20:21:56 <grimb>	492.799988
7 17 20:22:14 <dcdc>	492.799988
7 17 20:22:21 <lyn>	저도 저렇게
7 17 20:22:31 <item4>	네. 계산 결과가 나오는것을 볼 수 있습니다
7 17 20:23:10 <item4>	그런데, 뭘 써야하는건지 얼핏봐선 파악이 안되니까
7 17 20:23:18 <item4>	약간의 가공을 해보도록 하겠습니다
7 17 20:23:27 <lyn>	입력어가 소수면 잘라먹는군요...
7 17 20:24:06 <item4>	http://codepad.org/H8DUkNXe
7 17 20:24:08 <item4>	이렇게
7 17 20:24:13 <item4>	한줄만 추가해보도록 하겠습니다
7 17 20:24:56 <lyn>	오류나네요
7 17 20:25:05 <lyn>	아차
7 17 20:25:19 <lyn>	폼이 생겼네요
7 17 20:25:33 <item4>	뭘 쓰라는건지 알 수 있게 되었습니다
7 17 20:25:36 <dcdc>	오~
7 17 20:25:39 <dcdc>	뭔가 하네요...
7 17 20:25:47 <item4>	이제 좀 프로그램을 만들고 있다는 느낌이 드시나요?
7 17 20:26:01 <lyn>	네 ㅎㅎ
7 17 20:26:05 <dcdc>	네...
7 17 20:26:10 <dcdc>	느낌만... ^^;;
7 17 20:26:26 <item4>	그럼 이제
7 17 20:26:35 <item4>	과연 scanf가 뭐길래
7 17 20:26:43 <item4>	우리가 프로그램을 만드는 느낌이 들게 해줬는지
7 17 20:26:49 <item4>	뜯어보도록 하겠습니다
7 17 20:26:57 <ellif_w7>	자
7 17 20:26:59 <ellif_w7>	돌아왔습ㄴ다
7 17 20:27:03 <ellif_w7>	지금부터 대충 뜯어보겠습니다.
7 17 20:27:05 <item4>	scanf("%d",&C);
7 17 20:27:10 <item4>	형식은
7 17 20:27:25 <item4>	scanf(형식문자열,변수주소,변수주소....)
7 17 20:27:28 <item4>	이런 형식입니다
7 17 20:27:35 <item4>	처음 보는 용어가 나왔습니다
7 17 20:27:39 <item4>	변수주소는 뭘까요?
7 17 20:28:17 <item4>	아무거나 생각나는데로 질러주세요
7 17 20:28:26 <lyn>	입력방식?
7 17 20:29:03 <item4>	음. 다른 아이디어는 없으신가요
7 17 20:29:24 <lyn>	C에 입력해라
7 17 20:29:32 <ellif_w7>	그 뭐라고 해야 하나
7 17 20:29:37 <lyn>	형식문자열을 &변수주소에 입력해라
7 17 20:29:41 <ellif_w7>	루비 같은데는
7 17 20:29:59 <ellif_w7>	Def a = [0, 3, 7] 이런 식으로
7 17 20:30:12 <ellif_w7>	하나의 변수에 여러개를 기억할 수 있지 않나요?
7 17 20:30:25 <item4>	지금은 루비 시간이 아니므로 루비는 넘어가도록 하죠
7 17 20:30:38 <ellif_w7>	그것과 비슷한 이치인지 묻고 있는 것입니다.
7 17 20:30:45 <item4>	음.. 다릅니다
7 17 20:31:23 <dcdc>	루비도 배우고 싶어요.
7 17 20:31:34 <lyn>	변수주소... 변수가 들어갈 위치 지정
7 17 20:31:39 <item4>	저도 루비는 모릅니다. 개인적으로 파이썬이 좋아서..
7 17 20:31:44 <item4>	자, 다시 본론으로 돌아와서
7 17 20:31:56 <item4>	변수주소가 무엇인지 한단어로 설명하면 이겁니다
7 17 20:31:58 <item4>	포인터
7 17 20:32:12 <item4>	C언어의 최고 보스 몬스터쯤으로 취급받는 녀석입니다
7 17 20:32:23 <item4>	시작한지 3주밖에 안됬는데 벌써 포인터가 나오냐고 할지 모르는데요
7 17 20:32:41 <ellif_w7>	그게 뭔지 모르겠네요.
7 17 20:32:48 <item4>	포인터의 세계에 들어가지 않으니까 걱정 안하셔도 되고
7 17 20:32:50 <lyn>	ㅎㅎㅎㅎ
7 17 20:32:57 <item4>	일단 포인터의 개념만 알아보도록 하겠습니다
7 17 20:33:12 <item4>	일단 쉽계 예를 들겠습니다
7 17 20:33:27 <item4>	변수를 그릇이라고 설명했었는데 기억하시나요
7 17 20:33:47 <grimb>	네
7 17 20:33:52 <dcdc>	네 그건 기억나네요.
7 17 20:34:09 <item4>	조금 더 요란하게 생각해서
7 17 20:34:18 <item4>	변수를 그릇을 들고있는 사람이라고 생각해봅시다
7 17 20:34:58 <item4>	사람은 편하게 한국인이라고 치죠
7 17 20:35:10 <item4>	우리는 이제까지 섭씨온도 C란 사람도 봤고
7 17 20:35:16 <item4>	화씨온도 F도 봤습니다
7 17 20:35:38 <item4>	근데, 이사람들은 각각
7 17 20:35:43 <item4>	주민등록번호를 가지고 있습니다
7 17 20:36:15 <item4>	그럼, C란 변수도 주민번호가 있고
7 17 20:36:22 <item4>	F란 변수도 주민번호가 있겠죠?
7 17 20:36:37 <grimb>	네
7 17 20:36:53 <item4>	그냥 C라고 쓰면 그 자리에
7 17 20:37:03 <item4>	C란 사람이 들고있는 그릇의 내용이 들어갑니다
7 17 20:37:13 <item4>	그런데 그 앞에다가 &를 붙이면
7 17 20:37:17 <item4>	&C가되죠?
7 17 20:37:28 <item4>	&C는 C란 사람의 주민등록번호가 들어갑니다
7 17 20:37:45 <item4>	scanf는 입력을 받아서
7 17 20:37:54 <item4>	저장을 시켜주는 역할을 하는데
7 17 20:38:04 <item4>	C의 값은 C의 주민등록번호가 아니잖아요
7 17 20:38:10 <item4>	C라는 사람에게 줘야하는거니
7 17 20:38:16 <item4>	C의 주민등록번호를 알려주는겁니다
7 17 20:38:24 <item4>	이해 되시나요?
7 17 20:38:51 <grimb>	어렴풋이 이해가 되려고 합니다. a;;
7 17 20:39:11 <item4>	그러니까 이런겁니다
7 17 20:39:15 <item4>	택배를 보내려면
7 17 20:39:18 <item4>	주소를 알려줘야지
7 17 20:39:28 <item4>	이름만 알려줘선 찾아갈 수 없는겁니다
7 17 20:39:55 <item4>	여기서, 제가 주민등록번호라고 말한걸
7 17 20:39:58 <item4>	포인터라고 합니다
7 17 20:40:02 <grimb>	무슨 말씀인지 알겠습니다.
7 17 20:40:33 <item4>	실제로 포인터는
7 17 20:40:40 <item4>	각 변수의 주소를 가르키고 있는데요
7 17 20:40:44 <item4>	여기서 주소라고 하는건
7 17 20:40:52 <item4>	메모리.. 그러니까 RAM에 있는 공간의
7 17 20:40:55 <item4>	주소를 말합니다
7 17 20:41:03 <item4>	컴퓨터 안에 있는 저장공간에
7 17 20:41:09 <item4>	각각 주민번호가 있다고 생각하면 됩니다
7 17 20:41:32 <item4>	자세한것은 자료구조에 들어가면 더 알게되니 이정도로 포인터 개론(?)을 마치려 하는데
7 17 20:41:34 <item4>	질문 있으신가요
7 17 20:42:38 <item4>	어렵거나 이해 안되는 부분 있으면 지금 말씀해주세요
7 17 20:42:45 <item4>	안그러면 나중가서 막혀요
7 17 20:42:55 <lyn>	그러니까 간단히, 입력한 값을 넣을 그릇을 지정하는거 아닌가요?
7 17 20:43:01 <item4>	네. 그렇습니다
7 17 20:43:13 <lyn>	아 맞구나;
7 17 20:43:16 <lyn>	그럼 알겠습니다
7 17 20:44:47 <item4>	계속 진행해도 될까요?
7 17 20:44:54 <grimb>	네
7 17 20:44:56 <lyn>	전 괜찮습니다만..
7 17 20:45:00 <Jstring>	넵
7 17 20:45:35 <item4>	그럼, 이번엔 좀 새로운걸 만들어보겠습니다
7 17 20:45:42 <item4>	이에 앞서 먼저
7 17 20:45:56 <item4>	우리가 무심코 쓰고있는 산술식을 좀 다시 훑어볼텐데요
7 17 20:46:02 <item4>	우리는 지금까지 아무렇지도 않게
7 17 20:46:09 <item4>	+ - * /를
7 17 20:46:13 <item4>	그냥 썼습니다
7 17 20:46:28 <item4>	보통 강의할때 더할때는 뭐.. 이런식으로 설명해주기도 하지만
7 17 20:46:41 <item4>	일단 자연스럽게 쓴다는 느낌으로 아무 터치 안하고 넘어왔는데요
7 17 20:46:46 <item4>	자, 당연한거지만
7 17 20:46:52 <item4>	1+2*3은 몇일까요
7 17 20:46:57 <grimb>	7
7 17 20:47:04 <lyn>	7이요
7 17 20:47:05 <Jstring>	7입니다
7 17 20:47:12 <item4>	이유는 
7 17 20:47:17 <lyn>	*/가 먼저니까
7 17 20:47:18 <item4>	+보다 *가 우선되기 때문인데요
7 17 20:47:19 <grimb>	곱하기부터 해야 하니까요
7 17 20:47:23 <item4>	여기서
7 17 20:47:27 <item4>	+ 나 * 같은걸
7 17 20:47:30 <item4>	연산자 라고 부릅니다
7 17 20:47:40 <item4>	그리고 + * 이런게
7 17 20:47:44 <item4>	어떤게 먼저 될지를 말하는게
7 17 20:47:48 <item4>	연산자 우선순위입니다
7 17 20:48:07 <item4>	대학 교수들은 악질이라 이걸 달달 외우게 만드려고 드는 분도 있다고 들었는데
7 17 20:48:15 <item4>	어렵게 외우기까지 할 필요는 없고
7 17 20:48:22 <item4>	우리가 생각나는 느낌과 유사합니다
7 17 20:48:30 <item4>	그럼 오늘은
7 17 20:48:36 <item4>	새로운 연산자를 하나 알아보겠습니다
7 17 20:48:48 <item4>	%
7 17 20:48:51 <item4>	라는 연산자입니다
7 17 20:49:01 <item4>	수학시간에 % 라는건
7 17 20:49:05 <item4>	본 적이 없을겁니다
7 17 20:49:15 <item4>	사실 컴퓨터에서만 쓰이는 연산자입니다
7 17 20:49:22 <item4>	이것은, 쉽게 말하면
7 17 20:49:26 <item4>	나머지를 알려줍니다
7 17 20:49:34 <item4>	역시, 실제로 보는편이 더 빠르겠지요
7 17 20:49:40 <item4>	이번엔 별도의 파일을 만들진 않고
7 17 20:49:46 <item4>	냐옹이라는 봇을 통해 계산해볼겁니다
7 17 20:49:57 <item4>	!c printf("%d",5%3);
7 17 20:50:00 <냐옹이>	2
7 17 20:50:13 <item4>	5%3을 출력시켰더니
7 17 20:50:16 <item4>	2가 나왔습니다
7 17 20:50:19 <grimb>	아 그렇군요 ㅎㅎ
7 17 20:50:28 <item4>	5를 3으로 나눈 나머지를 구해주는게
7 17 20:50:30 <item4>	%입니다
7 17 20:50:34 <item4>	자, 몇개 더 해보죠
7 17 20:50:40 <item4>	!c printf("%d",9%3);
7 17 20:50:42 <냐옹이>	0
7 17 20:50:51 <item4>	9를 3으로 나누면 나머지는 0입니다
7 17 20:50:54 <lyn>	냐옹이가 계산하는데도 시간이 약간 걸리네요...
7 17 20:50:59 <item4>	!c printf("%d",13%3);
7 17 20:51:02 <냐옹이>	1
7 17 20:51:09 <item4>	13을 3으로 나누면 나머지는 1입니다
7 17 20:51:23 <item4>	아, 냐옹이는 외부 서버를 거쳐서 계산을 하는거라
7 17 20:51:26 <item4>	응답 속도가 느린겁니다
7 17 20:51:30 <lyn>	아하
7 17 20:51:37 <item4>	실제 직접 해보시면 이렇게 느리지는 않습니다
7 17 20:52:04 <item4>	다만, 이건 프로그램.. 아니 컴퓨터 구조에 대한 이야기인데
7 17 20:52:14 <item4>	컴퓨터는 나누기와 나머지 구하기가
7 17 20:52:16 <item4>	느립니다
7 17 20:52:21 <item4>	특히 나누기는 매우 느립니다
7 17 20:52:29 <lyn>	주산 쓰나보군요...
7 17 20:52:34 <lyn>	주판
7 17 20:52:39 <item4>	주판 비슷합니다
7 17 20:52:49 <item4>	자세한 원리는 설명하려면 제가 지쳐 쓰러지므로 넘어가겠습니다
7 17 20:53:02 <lyn>	네 대강 느낌을 알겠어요 ㅎㅎ
7 17 20:53:05 <item4>	자, 이런걸 배워서 뭐에 쓰냐는 질문을 받았는데요
7 17 20:53:06 <lyn>	느낌은 
7 17 20:53:10 <item4>	바로 실전에 투입해보겠습니다
7 17 20:53:34 <item4>	이제 여러분은 은행원이 되는겁니다
7 17 20:53:46 <item4>	제가 가서 예를들어서 1500원 인출해주세요 라고 말하면
7 17 20:53:56 <item4>	제가 가져가기 쉽게
7 17 20:54:05 <item4>	1000원짜리 1장과 500원짜리 1개를 줘야합니다
7 17 20:54:22 <item4>	그럼 17600원이면 어떻게 줘야할까요
7 17 20:54:55 <lyn>	1만 1, 5천 1, 1천 2, 5백 1, 1백 1
7 17 20:55:10 <item4>	자, 이제 이걸 컴퓨터에게 시켜보도록 하겠습니다
7 17 20:55:11 <grimb>	만원짜리 1장 오천원짜리 1장 천원짜리 2장 오백원짜리 1개 백원짜리 1개
7 17 20:55:29 <item4>	일단 이 문제를 어떻게 풀지를 생각해봐야합니다
7 17 20:55:41 <item4>	현금은 정수입니다
7 17 20:55:48 <item4>	0.43원 이런건 우리나라엔 없죠
7 17 20:55:55 <item4>	입력은 정수라고 봐야겠죠
7 17 20:56:07 <item4>	입력을 input이란 변수로 저장한다고 하면
7 17 20:56:10 <item4>	int input;
7 17 20:56:14 <item4>	한줄 만들었습니다
7 17 20:56:28 <item4>	입력을 받아야하니 scanf("%d",&input);
7 17 20:56:31 <item4>	이 필요하겠죠
7 17 20:56:37 <item4>	그다음부터가 문제입니다
7 17 20:56:42 <item4>	나눠서 줘야하는데
7 17 20:56:46 <item4>	이걸 어떻게 하느냐
7 17 20:57:08 <item4>	자, 우리가 이걸 어떻게 생각하는지
7 17 20:57:12 <item4>	생각의 흐름을 생각해봅시다
7 17 20:57:16 <item4>	17600원입니다
7 17 20:57:21 <item4>	가장먼저 보이는건 만원입니다
7 17 20:57:33 <item4>	만원짜리 한장을 줍니다
7 17 20:57:41 <item4>	그럼 남는건 7600원이 됩니다
7 17 20:57:58 <item4>	이걸 아까 배운 %를 통해 표현해봅시다
7 17 20:58:09 <item4>	자, 생각나는대로 적어주세요
7 17 20:58:53 <grimb>	!c printf("%d",17600%10000);
7 17 20:58:56 <냐옹이>	7600
7 17 20:59:13 <item4>	grimb 님이 정답을 맞춰주셨네요
7 17 20:59:35 <item4>	17600을 10000으로 나눈 나머지는 7600이다
7 17 20:59:56 <item4>	자, 그럼 일단 만원짜리로 줘야하는것과
7 17 21:00:02 <item4>	만원짜리로 못주는거의 구분은 알았습니다
7 17 21:00:13 <item4>	그럼 만원짜리를 몇장 줘야하는지는
7 17 21:00:16 <item4>	어떻게 구해야할까요
7 17 21:00:53 <item4>	24500원이라고 생각해봅시다
7 17 21:01:00 <item4>	우리는 이미 눈으로 볼때 2장이라고 알고 있습니다
7 17 21:01:14 <grimb>	(17600-7600)/10000
7 17 21:01:35 <item4>	자, 일단 grimb님이 말씀하신것처럼 하면
7 17 21:01:39 <item4>	똑떨어지는 답이 나올겁니다
7 17 21:01:51 <item4>	근데 그렇게하면 식이 좀 길어집니다
7 17 21:01:57 <grimb>	네..^^;;
7 17 21:01:59 <item4>	17600이 input이니까
7 17 21:02:13 <ellif_w7>	!c print ("%d",24500%10000)
7 17 21:02:14 <냐옹이>	error: expected ‘;’ before ‘return’
7 17 21:02:17 <ellif_w7>	!c print ("%d",24500%10000);
7 17 21:02:18 <lyn>	그냥 나누기하면 답이 나올것같은데..
7 17 21:02:19 <냐옹이>	(아무것도 출력되지 않았습니다.)
7 17 21:02:20 <item4>	(input-input%10000)/10000
7 17 21:02:31 <item4>	input이 2번이나 나오고
7 17 21:02:36 <item4>	실제 나누기도 두번이나 해보고 있습니다
7 17 21:02:42 <item4>	효율성이 좋지 않네요
7 17 21:02:52 <item4>	lyn님 말씀대로 그냥 나누기만 해보겠습니다
7 17 21:03:02 <ellif_w7>	!c printf ("%d",24500%10000);
7 17 21:03:05 <냐옹이>	4500
7 17 21:03:10 <item4>	!c printf("%d",17600/10000);
7 17 21:03:14 <냐옹이>	1
7 17 21:03:15 <item4>	!c printf("%d",24500/10000);
7 17 21:03:18 <냐옹이>	2
7 17 21:03:25 <item4>	똑떨어지게 나옵니다
7 17 21:03:29 <item4>	이 이유가 이해 되시는분?
7 17 21:03:33 <lyn>	int니까요
7 17 21:03:35 <ellif_w7>	Int니까요
7 17 21:03:45 <ellif_w7>	Int니까 정수 이외는 산출할 수 없지요
7 17 21:04:04 <item4>	네. 그렇습니다
7 17 21:04:10 <item4>	지난시간에 말했지만
7 17 21:04:10 <dcdc>	음...
7 17 21:04:14 <item4>	정수 (연산) 정수
7 17 21:04:17 <item4>	는 정수만 나옵니다
7 17 21:04:28 <item4>	1/2 라고 한다고 해서
7 17 21:04:32 <item4>	0.5가 나오지 않습니다
7 17 21:04:39 <item4>	소숫점은 완전히 무시되죠
7 17 21:04:49 <item4>	17600/10000도 실제로 구해보면
7 17 21:04:55 <item4>	1.7600 이겠지만
7 17 21:04:59 <item4>	int/int 이므로
7 17 21:05:04 <item4>	1만 남습니다
7 17 21:05:29 <item4>	자, 그럼
7 17 21:05:32 <item4>	만원짜리는
7 17 21:05:38 <item4>	input/10000입니다
7 17 21:05:54 <item4>	거슬러주고 남은건 input%10000 입니다
7 17 21:06:13 <item4>	만원짜리 지폐 장수를 money10000 이란 변수에 저장한다고 하면
7 17 21:06:30 <item4>	money10000 = input/10000; 이 되겠죠
7 17 21:06:39 <item4>	여기까진 이해 되시나요
7 17 21:06:40 <grimb>	넵!
7 17 21:06:41 <lyn>	네
7 17 21:06:49 <item4>	자, 그럼 그 다음단계인
7 17 21:06:54 <item4>	5000원 짜리를 구해봅시다
7 17 21:06:54 <ellif_w7>	앞에 int 들어가야 하는거 아닌가요?
7 17 21:07:07 <item4>	int money10000; 은 위에 있다고 가정했습니다
7 17 21:07:19 <ellif_w7>	넵
7 17 21:07:34 <item4>	5000원 짜리도
7 17 21:07:40 <item4>	일단 생각나는건 나누기입니다
7 17 21:07:46 <item4>	한번 나눠보겠습니다
7 17 21:08:02 <item4>	!c printf("%d",17600/5000);
7 17 21:08:05 <냐옹이>	3
7 17 21:08:14 <item4>	이런, 5천원 짜리를 3장 줘야한다고 합니다
7 17 21:08:17 <item4>	이유가 뭘까요
7 17 21:08:26 <lyn>	(input-money10000*10000)/5000을 써야겠군요
7 17 21:08:45 <lyn>	이유는 나머지가 아닌 처음값으로 계산했으니까..
7 17 21:09:12 <item4>	네 맞습니다
7 17 21:09:19 <item4>	만원짜리로 이미 10000원을 줬는데
7 17 21:09:26 <item4>	그걸 생각 안하고 다시 보니까 생긴 문제입니다
